key_id,scheme_id,scheme,code_id,major_code,major_code_topic,minor_code,minor_code_topic,policy_area
1,1,Case law directory (old),1,B-01,Principles and citizenship of the Union,B-01.01,The Community and its institutional structure,None
2,1,Case law directory (old),2,B-01,Principles and citizenship of the Union,B-01.02,Objectives and foundations of the Community,None
3,1,Case law directory (old),3,B-01,Principles and citizenship of the Union,B-01.03,Obligations of the Member States,None
4,1,Case law directory (old),4,B-01,Principles and citizenship of the Union,B-01.04,Coordination of economic policies,None
5,1,Case law directory (old),5,B-01,Principles and citizenship of the Union,B-01.05,Prohibition of discrimination on grounds of nationality,None
6,1,Case law directory (old),6,B-01,Principles and citizenship of the Union,B-01.06,Transitional period,None
7,1,Case law directory (old),7,B-01,Principles and citizenship of the Union,B-01.07,Principle of subsidiaritiy,None
8,1,Case law directory (old),8,B-01,Principles and citizenship of the Union,B-01.08,Citizenship of the Union,None
9,1,Case law directory (old),9,B-01,Principles and citizenship of the Union,B-01.09,"Action to combat discrimination based on sex, racial or ethnic origin, etc.",None
10,1,Case law directory (old),10,B-01,Principles and citizenship of the Union,B-01.10,European Union - Closer cooperation,None
11,1,Case law directory (old),11,B-01,Principles and citizenship of the Union,B-01.11,Services of general economic interest,None
12,1,Case law directory (old),12,B-02,Free movement of goods,B-02.00,General,Customs union
13,1,Case law directory (old),13,B-02,Free movement of goods,B-02.01,Prohibition of customs duties and charges having equivalent effect,Customs union
14,1,Case law directory (old),14,B-02,Free movement of goods,B-02.02,Prohibition of quantitative restrictions and measures having equivalent effect,Customs union
15,1,Case law directory (old),15,B-02,Free movement of goods,B-02.03,State monopolies of a commercial character,Customs union
16,1,Case law directory (old),16,B-02,Free movement of goods,B-02.04,Trade with non-member countries,Customs union
17,1,Case law directory (old),17,B-02,Free movement of goods,B-02.05,Community transit,Customs union
18,1,Case law directory (old),18,B-03,Agriculture,B-03.00,General,Agriculture
19,1,Case law directory (old),19,B-03,Agriculture,B-03.01,Objectives of the common agricultural policy,Agriculture
20,1,Case law directory (old),20,B-03,Agriculture,B-03.02,Formulation and implementation of the common agricultural policy,Agriculture
21,1,Case law directory (old),21,B-03,Agriculture,B-03.03,Common organization of the markets: principles and mechanisms,Agriculture
22,1,Case law directory (old),22,B-03,Agriculture,B-03.04,The various common organizations of the agricultural markets,Agriculture
23,1,Case law directory (old),23,B-03,Agriculture,B-03.05,Monetary measures,Agriculture
24,1,Case law directory (old),24,B-03,Agriculture,B-03.06,Harmonization of laws,Agriculture
25,1,Case law directory (old),25,B-03,Agriculture,B-03.07,Structural policy,Agriculture
26,1,Case law directory (old),26,B-03,Agriculture,B-03.08,European Agricultural Guidance and Guarantee Find (EAGGF),Agriculture
27,1,Case law directory (old),27,B-03,Agriculture,B-03.09,Food aid,Agriculture
28,1,Case law directory (old),28,B-04,Free movement of persons and services,B-04.00,General,Social policy
29,1,Case law directory (old),29,B-04,Free movement of persons and services,B-04.01,Right of entry and of residence,Social policy
30,1,Case law directory (old),30,B-04,Free movement of persons and services,B-04.02,Workers,Social policy
31,1,Case law directory (old),31,B-04,Free movement of persons and services,B-04.03,Freedom of establishment,Social policy
32,1,Case law directory (old),32,B-04,Free movement of persons and services,B-04.04,Freedom to provide services,Social policy
33,1,Case law directory (old),33,B-04,Free movement of persons and services,B-04.05,Coordination of company law - European Economic Interest Grouping,Social policy
34,1,Case law directory (old),34,B-04,Free movement of persons and services,B-04.06,Social security for workers,Social policy
35,1,Case law directory (old),35,B-04,Free movement of persons and services,B-04.00,"Visas, asylum, immigration, etc.",Home affairs
36,1,Case law directory (old),36,B-04,Free movement of persons and services,B-04.00,Judicial cooperation in civil matters,Justice
37,1,Case law directory (old),37,B-05,Free movement of capital and freedom of payments,None,None,Economic policy
38,1,Case law directory (old),38,B-06,Transport,B-06.01,Common transport policy,Transport
39,1,Case law directory (old),39,B-06,Transport,B-06.02,Aid for transport,Transport
40,1,Case law directory (old),40,B-06,Transport,B-06.03,Road transport,Transport
41,1,Case law directory (old),41,B-06,Transport,B-06.04,Maritime transport,Transport
42,1,Case law directory (old),42,B-06,Transport,B-06.05,Air transport,Transport
43,1,Case law directory (old),43,B-06,Transport,B-06.06,Competition rules,Transport
44,1,Case law directory (old),44,B-06,Transport,B-06.07,Inland waterway transport,Transport
45,1,Case law directory (old),45,B-07,Competition,B-07.00,Community competition rules,Competition
46,1,Case law directory (old),46,B-07,Competition,B-07.01,"Agreements, decisions and concerted practices",Competition
47,1,Case law directory (old),47,B-07,Competition,B-07.02,Dominant position,Competition
48,1,Case law directory (old),48,B-07,Competition,B-07.03,implementation of the competition rules,Competition
49,1,Case law directory (old),49,B-07,Competition,B-07.04,Public undertakings,Competition
50,1,Case law directory (old),50,B-07,Competition,B-07.05,Concentrations between undertakings,Competition
51,1,Case law directory (old),51,B-08,Dumping,None,None,Competition
52,1,Case law directory (old),52,B-09,State aid,B-09.00,General,Competition
53,1,Case law directory (old),53,B-09,State aid,B-09.01,Definition of aid,Competition
54,1,Case law directory (old),54,B-09,State aid,B-09.02,Damage to competition and effect on trade,Competition
55,1,Case law directory (old),55,B-09,State aid,B-09.03,Exceptions to the prohibition of aid,Competition
56,1,Case law directory (old),56,B-09,State aid,B-09.04,Procedure for reviewing aid,Competition
57,1,Case law directory (old),57,B-09,State aid,B-09.05,Powers of the Council,Competition
58,1,Case law directory (old),58,B-09,State aid,B-09.06,Rules on aid in connection with the common organization of the agricultural markets,Competition
59,1,Case law directory (old),59,B-10,Tax provisions,B-10.00,General,Taxation
60,1,Case law directory (old),60,B-10,Tax provisions,B-10.01,Internal taxation,Taxation
61,1,Case law directory (old),61,B-10,Tax provisions,B-10.02,Harmonization of tax legislation,Taxation
62,1,Case law directory (old),62,B-11,Approximation of laws and uniform laws,B-11.00,General,Internal market
63,1,Case law directory (old),63,B-11,Approximation of laws and uniform laws,B-11.01,Directives concerning approximation of law,Internal market
64,1,Case law directory (old),64,B-11,Approximation of laws and uniform laws,B-11.02,Uniform laws,Internal market
65,1,Case law directory (old),65,B-11,Approximation of laws and uniform laws,B-11.03,Administrative cooperation,Internal market
66,1,Case law directory (old),66,B-11,Approximation of laws and uniform laws,B-11.04,Energy,Internal market
67,1,Case law directory (old),67,B-11,Approximation of laws and uniform laws,B-11.05,Protected names,Internal market
68,1,Case law directory (old),68,B-11,Approximation of laws and uniform laws,B-11.06,Patents,Internal market
69,1,Case law directory (old),69,B-11,Approximation of laws and uniform laws,B-11.07,Harmonization of trade mark law,Internal market
70,1,Case law directory (old),70,B-11,Approximation of laws and uniform laws,B-11.08,Copyright and related rights,Internal market
71,1,Case law directory (old),71,B-11,Approximation of laws and uniform laws,B-11.09,Protection of new plant varieties,Internal market
72,1,Case law directory (old),72,B-11,Approximation of laws and uniform laws,B-11.10,Enforcement of intellectual property rights,Internal market
73,1,Case law directory (old),73,B-11,Approximation of laws and uniform laws,B-11.11,Information and communication technologies,Internal market
74,1,Case law directory (old),74,B-11,Approximation of laws and uniform laws,B-11.12,Financial services,Internal market
75,1,Case law directory (old),75,B-11,Approximation of laws and uniform laws,B-11.13,Common corporate tax regime,Internal market
76,1,Case law directory (old),76,B-11,Approximation of laws and uniform laws,B-11.14,Pharmaceutical and cosmetic products,Internal market
77,1,Case law directory (old),77,B-11,Approximation of laws and uniform laws,B-11.15,Chemicals,Internal market
78,1,Case law directory (old),78,B-11,Approximation of laws and uniform laws,B-11.16,Technical standards and regulations,Internal market
79,1,Case law directory (old),79,B-11,Approximation of laws and uniform laws,B-11.17,Misleading and comparative advertising,Internal market
80,1,Case law directory (old),80,B-11,Approximation of laws and uniform laws,B-11.18,Food safety,Internal market
81,1,Case law directory (old),81,B-11,Approximation of laws and uniform laws,B-11.19,Motor vehicle liability insurance,Internal market
82,1,Case law directory (old),82,B-12,Conjunctural policy and balance of payments,B-12.01,Conjunctural policy,Economic policy
83,1,Case law directory (old),83,B-12,Conjunctural policy and balance of payments,B-12.02,Balance of payments,Economic policy
84,1,Case law directory (old),84,B-13,Economic and monetary policy,B-13.01,Economic policy,Economic policy
85,1,Case law directory (old),85,B-13,Economic and monetary policy,B-13.02,Monetary policy,Economic policy
86,1,Case law directory (old),86,B-13,Economic and monetary policy,B-13.03,Euro,Economic policy
87,1,Case law directory (old),87,B-13,Economic and monetary policy,B-13.04,European System of Central Banks,Economic policy
88,1,Case law directory (old),88,B-14,Commercial policy,B-14.00,General,Trade
89,1,Case law directory (old),89,B-14,Commercial policy,B-14.01,Community regulation of trade with non-member countries,Trade
90,1,Case law directory (old),90,B-14,Commercial policy,B-14.02,International agreements concerning commercial policy and joint action within the framework of international organizations,Trade
91,1,Case law directory (old),91,B-14,Commercial policy,B-14.03,National protective measures,Trade
92,1,Case law directory (old),92,B-15,Social policy,B-15.00,General,Social policy
93,1,Case law directory (old),93,B-15,Social policy,B-15.01,Equality for men and women,Social policy
94,1,Case law directory (old),94,B-15,Social policy,B-15.02,Employment protection and protection of employees in the event fo the insolvency of their employer,Social policy
95,1,Case law directory (old),95,B-15,Social policy,B-15.03,European Social Fund,Social policy
96,1,Case law directory (old),96,B-15,Social policy,B-15.04,Vocation training,Social policy
97,1,Case law directory (old),97,B-15,Social policy,B-15.05,Protection of the health and safety of workers,Social policy
98,1,Case law directory (old),98,B-15,Social policy,B-15.06,Information and consultation of employees,Social policy
99,1,Case law directory (old),99,B-16,European Investment Bank,None,None,Economic policy
100,1,Case law directory (old),100,B-17,Association of Overseas Countries and Territories,None,None,External relations
101,1,Case law directory (old),101,B-18,Institutions and bodies of the Community,B-18.00,General,None
102,1,Case law directory (old),102,B-18,Institutions and bodies of the Community,B-18.01,Parliament,None
103,1,Case law directory (old),103,B-18,Institutions and bodies of the Community,B-18.02,Council,None
104,1,Case law directory (old),104,B-18,Institutions and bodies of the Community,B-18.03,Commission,None
105,1,Case law directory (old),105,B-18,Institutions and bodies of the Community,B-18.04,Court of Justice,None
106,1,Case law directory (old),106,B-18,Institutions and bodies of the Community,B-18.05,Economic and Social Committee,None
107,1,Case law directory (old),107,B-18,Institutions and bodies of the Community,B-18.06,Court of Auditors,None
108,1,Case law directory (old),108,B-18,Institutions and bodies of the Community,B-18.07,European Committee of the Regions,None
109,1,Case law directory (old),109,B-18,Institutions and bodies of the Community,B-18.08,European ombudsman,None
110,1,Case law directory (old),110,B-18,Institutions and bodies of the Community,B-18.09,OLAF,None
111,1,Case law directory (old),111,B-18,Institutions and bodies of the Community,B-18.10,"Agencies, offices and foundations",None
112,1,Case law directory (old),112,B-18,Institutions and bodies of the Community,B-18.11,European Central Bank,None
113,1,Case law directory (old),113,B-19,Legal proceedings,B-19.00,General,None
114,1,Case law directory (old),114,B-19,Legal proceedings,B-19.01,Actions for failure to fulfill obligations,None
115,1,Case law directory (old),115,B-19,Legal proceedings,B-19.02,Actions for annulment,None
116,1,Case law directory (old),116,B-19,Legal proceedings,B-19.03,Actions for failure to act,None
117,1,Case law directory (old),117,B-19,Legal proceedings,B-19.04,Reference for a preliminary ruling,None
118,1,Case law directory (old),118,B-19,Legal proceedings,B-19.05,Actions for damages,None
119,1,Case law directory (old),119,B-19,Legal proceedings,B-19.06,Plea of illegality,None
120,1,Case law directory (old),120,B-19,Legal proceedings,B-19.07,Ancillary procedures and applications,None
121,1,Case law directory (old),121,B-19,Legal proceedings,B-19.08,Procedural rules,None
122,1,Case law directory (old),122,B-19,Legal proceedings,B-19.09,Proceedings relating to a contract,None
123,1,Case law directory (old),123,B-19,Legal proceedings,B-19.10,Appeals,None
124,1,Case law directory (old),124,B-19,Legal proceedings,B-19.11,Allocation of jurisdiction among the various Community courts,None
125,1,Case law directory (old),125,B-19,Legal proceedings,B-19.12,Review,None
126,1,Case law directory (old),126,B-20,Actions of the institutions,B-20.00,General,None
127,1,Case law directory (old),127,B-20,Actions of the institutions,B-20.01,Regulations,None
128,1,Case law directory (old),128,B-20,Actions of the institutions,B-20.02,Directives,None
129,1,Case law directory (old),129,B-20,Actions of the institutions,B-20.03,Decisions,None
130,1,Case law directory (old),130,B-20,Actions of the institutions,B-20.04,Actions without binding force,None
131,1,Case law directory (old),131,B-20,Actions of the institutions,B-20.05,Statement of reasons,None
132,1,Case law directory (old),132,B-20,Actions of the institutions,B-20.06,Application ratione temporis,None
133,1,Case law directory (old),133,B-21,Environment,None,None,Environment
134,1,Case law directory (old),134,B-22,Financial provisions,B-22.00,General,Budget
135,1,Case law directory (old),135,B-22,Financial provisions,B-22.01,Budgetary rules,Budget
136,1,Case law directory (old),136,B-22,Financial provisions,B-22.02,Own resources of the Communities,Budget
137,1,Case law directory (old),137,B-22,Financial provisions,B-22.03,Structural funds,Budget
138,1,Case law directory (old),138,B-23,Accession of new Member States,B-23.01,General principles,Enlargement
139,1,Case law directory (old),139,B-23,Accession of new Member States,B-23.02,Acts of accession,Enlargement
140,1,Case law directory (old),140,B-24,Protective measures,None,None,None
141,1,Case law directory (old),141,B-25,International agreements,B-25.00,General,External relations
142,1,Case law directory (old),142,B-25,International agreements,B-25.01,Respective powers of the Community and of the Member States,External relations
143,1,Case law directory (old),143,B-25,International agreements,B-25.02,Negotiations and conclusion,External relations
144,1,Case law directory (old),144,B-25,International agreements,B-25.03,Prior opinion of the Court,External relations
145,1,Case law directory (old),145,B-25,International agreements,B-25.04,"Effects, scope and limits",External relations
146,1,Case law directory (old),146,B-25,International agreements,B-25.05,The various agreements concluded by the Community,External relations
147,1,Case law directory (old),147,B-25,International agreements,B-25.06,Observance of prior international agreements concluded by Member States,External relations
148,1,Case law directory (old),148,B-25,International agreements,B-25.07,GATT and WTO,External relations
149,1,Case law directory (old),149,B-26,Implied powers,None,None,None
150,1,Case law directory (old),150,B-27,Amendment of the Treaty,None,None,None
151,1,Case law directory (old),151,B-28,General and final provisions,B-28.00,General,None
152,1,Case law directory (old),152,B-28,General and final provisions,B-28.01,Territorial scope of the Treaty,None
153,1,Case law directory (old),153,B-28,General and final provisions,B-28.02,Internal German trade,None
154,1,Case law directory (old),154,B-28,General and final provisions,B-28.03,Privileges and immunities,None
155,1,Case law directory (old),155,B-28,General and final provisions,B-28.04,Observance of professional secrecy,None
156,1,Case law directory (old),156,B-28,General and final provisions,B-28.05,Language arrangements,None
157,1,Case law directory (old),157,B-28,General and final provisions,B-28.06,Competition of the Community under Article 235 EEC or Article 308 EC,None
158,1,Case law directory (old),158,B-29,Trans-European networks,None,None,Information technology
159,1,Case law directory (old),159,B-30,Development cooperation,None,None,Development
160,1,Case law directory (old),160,B-31,Culture,None,None,Culture
161,1,Case law directory (old),161,B-32,Industry,None,None,Industrial policy
162,1,Case law directory (old),162,B-33,Community trade mark,B-33.00,General,Industrial policy
163,1,Case law directory (old),163,B-33,Community trade mark,B-33.01,Absolute grounds for refusal,Industrial policy
164,1,Case law directory (old),164,B-33,Community trade mark,B-33.02,Relative grounds for refusal,Industrial policy
165,1,Case law directory (old),165,B-33,Community trade mark,B-33.03,Other questions and substantive law,Industrial policy
166,1,Case law directory (old),166,B-33,Community trade mark,B-33.04,Procedure and legal proceedings,Industrial policy
167,1,Case law directory (old),167,B-34,Employment,None,None,Social policy
168,1,Case law directory (old),168,B-35,Public health,None,None,Health
169,1,Case law directory (old),169,B-36,Consumer protection,B-36.00,General,Consumer protection
170,1,Case law directory (old),170,B-36,Consumer protection,B-36.01,Concept of consumer,Consumer protection
171,1,Case law directory (old),171,B-36,Consumer protection,B-36.02,Off-premises contracts,Consumer protection
172,1,Case law directory (old),172,B-36,Consumer protection,B-36.03,Distance contracts,Consumer protection
173,1,Case law directory (old),173,B-36,Consumer protection,B-36.04,Unfair terms,Consumer protection
174,1,Case law directory (old),174,B-36,Consumer protection,B-36.05,Unfair commericial practices,Consumer protection
175,1,Case law directory (old),175,B-36,Consumer protection,B-36.06,Consumer credit,Consumer protection
176,1,Case law directory (old),176,B-36,Consumer protection,B-36.07,Sale of consumer goods and associated gurantees,Consumer protection
177,1,Case law directory (old),177,B-36,Consumer protection,B-36.08,"Package travel, package holidays and package tours",Consumer protection
178,1,Case law directory (old),178,B-36,Consumer protection,B-36.09,Air passenger rights,Consumer protection
179,1,Case law directory (old),179,B-36,Consumer protection,B-36.10,Liability for defective products,Consumer protection
180,1,Case law directory (old),180,B-37,Research and technological development,None,None,Research
181,1,Case law directory (old),181,B-38,Community designs,None,None,Industrial policy
182,1,Case law directory (old),182,G-00,General,None,None,None
183,1,Case law directory (old),183,G-01,European Union - Common provisions,None,None,None
184,1,Case law directory (old),184,G-02,Common foreign and security policy (CFSP),G-02.00,General,Defense
185,1,Case law directory (old),185,G-02,Common foreign and security policy (CFSP),G-02.01,Restrictive measures - Freezing of funds and various prohibitions,Defense
186,1,Case law directory (old),186,G-03,European Union - Policy and judicial cooperation in criminal matters,G-03.00,General,Justice
187,1,Case law directory (old),187,G-03,European Union - Policy and judicial cooperation in criminal matters,G-03.01,Jurisdiction of the Court of Justice,Justice
188,1,Case law directory (old),188,G-03,European Union - Policy and judicial cooperation in criminal matters,G-03.02,Convention implementing the Schengen Agreement,Justice
189,1,Case law directory (old),189,G-03,European Union - Policy and judicial cooperation in criminal matters,G-03.03,European arrest warrant,Justice
190,1,Case law directory (old),190,G-03,European Union - Policy and judicial cooperation in criminal matters,G-03.04,Standing of victims,Justice
191,1,Case law directory (old),191,G-04,European Union - closer cooperation,None,None,None
192,2,Case law directory (new),1,4.01,Internal market - General,None,None,Internal market
193,2,Case law directory (new),2,4.02,Free movement of goods,4.02.00,General,Customs union
194,2,Case law directory (new),3,4.02,Free movement of goods,4.02.01,Prohibition of customs duties and charges having equivalent effect,Customs union
195,2,Case law directory (new),4,4.02,Free movement of goods,4.02.02,Prohibition of quantitative restrictions and measures having equivalent effect,Customs union
196,2,Case law directory (new),5,4.02,Free movement of goods,4.02.03,State monopolies of a commercial character,Customs union
197,2,Case law directory (new),6,4.02,Free movement of goods,4.02.04,Customs union,Customs union
198,2,Case law directory (new),7,4.02,Free movement of goods,4.02.05,Community transit,Customs union
199,2,Case law directory (new),8,4.02,Free movement of goods,4.02.06,Customs cooperation,Customs union
200,2,Case law directory (new),9,4.03,Agriculture and fisheries,4.03.00,General,Multiple
201,2,Case law directory (new),10,4.03,Agriculture and fisheries,4.03.01,Objectives of the common agricultural policy,Agriculture
202,2,Case law directory (new),11,4.03,Agriculture and fisheries,4.03.02,Formulation and implementation of the common agricultural policy,Agriculture
203,2,Case law directory (new),12,4.03,Agriculture and fisheries,4.03.03,Common organization of the markets,Agriculture
204,2,Case law directory (new),13,4.03,Agriculture and fisheries,4.03.04,Harmonization of laws,Agriculture
205,2,Case law directory (new),14,4.03,Agriculture and fisheries,4.03.05,Structural policy,Agriculture
206,2,Case law directory (new),15,4.03,Agriculture and fisheries,4.03.06,Financing,Agriculture
207,2,Case law directory (new),16,4.03,Agriculture and fisheries,4.03.07,Fisheries,Fisheries
208,2,Case law directory (new),17,4.04,Free movement of persons and services,4.04.00,General,Social policy
209,2,Case law directory (new),18,4.04,Free movement of persons and services,4.04.01,Workers,Social policy
210,2,Case law directory (new),19,4.04,Free movement of persons and services,4.04.02,Freedom of establishment,Social policy
211,2,Case law directory (new),20,4.04,Free movement of persons and services,4.04.03,Freedom to provide services,Social policy
212,2,Case law directory (new),21,4.04,Free movement of persons and services,4.04.04,Company law,Social policy
213,2,Case law directory (new),22,4.04,Free movement of persons and services,4.04.05,Social security,Social policy
214,2,Case law directory (new),23,4.05,Free movement of capital and freedom of payments,None,None,Economic policy
215,2,Case law directory (new),24,4.06,"Area of freedom, security and justice",4.06.00,General,Justice
216,2,Case law directory (new),25,4.06,"Area of freedom, security and justice",4.06.01,"Border checks, asylum and immigration",Home affairs
217,2,Case law directory (new),26,4.06,"Area of freedom, security and justice",4.06.02,Judicial cooperation in civil matters,Justice
